country_id|country_name|region_id
AR|Argentina|2
AU|Australia|3
BE|Belgium|1
BR|Brazil|2
CA|Canada|2
CN|China|3
DE|Germany|1
EG|Egypt|4
FR|France|1
IL|Israel|4
IN|India|3
JP|Japan|3
NG|Nigeria|4
N|Netherlands|1
UK|United Kingdom|1
US|United States of America|2
ZW|Zimbabwe|4
